text,emotion
I am very happy today,happy
I feel wonderful,happy
Today is a great day,happy
I am excited about my new job,happy
I love spending time with my family,happy
I am feeling great,happy
I am so happy,happy
This is the best day ever,happy

I am feeling sad today,sad
I feel very lonely,sad
I miss my friend,sad
Today has been terrible,sad
I feel like crying,sad
I am very unhappy,sad
I feel disappointed,sad
I am heartbroken,sad

I am extremely angry,angry
This makes me so angry,angry
I hate what happened,angry
I am frustrated with this situation,angry
Why did you do this to me,angry
I am furious,angry
This is making me angry,angry
I cannot control my anger,angry

I am worried about tomorrow,anxiety
I feel very nervous,anxiety
I cannot stop worrying,anxiety
I am scared about my future,anxiety
I feel anxious about the exam,anxiety
I am constantly worried,anxiety
I am nervous about the result,anxiety
I am feeling anxious today,anxiety

I feel hopeless,depression
I feel empty inside,depression
Nothing makes me happy anymore,depression
I feel completely worthless,depression
I don't feel motivated anymore,depression
I feel like giving up,depression
I have no hope,depression
I feel emotionally empty,depression

I am okay,neutral
Everything is normal,neutral
I don't have any strong feelings,neutral
It is an ordinary day,neutral
I feel normal today,neutral
Nothing special happened,neutral
I am doing okay,neutral
Things are normal,neutral
